arm,tstart,n,lpaps,lpaps_sem,clap,clap_sem,muq,muq_sem,clap_dir,clap_dir_sem
DDPM-inv,25,115,2.8403314370867134,0.03782675127745881,0.23672851751639465,0.011593525274273389,0.17611128565166956,0.017648594654609957,0.06667299364976907,0.00989973573451586
DDPM-inv,50,115,3.4833777389491813,0.058939326258108674,0.2879013283218702,0.010617097269125143,0.201707560592331,0.016443974064709373,0.16482237264837907,0.01190484809616674
DDPM-inv,75,115,4.182662937917571,0.07479788824903315,0.3096240307574254,0.0088410120389818,0.220147578296778,0.015102574040447774,0.20366255245778872,0.012733641813565427
DDPM-inv,99,115,4.21273276100988,0.07439036864274942,0.3094126801400621,0.008733623360995233,0.22063554876038563,0.015091806387123546,0.2036522043544961,0.012750382521826942
ODEInv (no LoRA),25,115,2.9133534663829255,0.03957462408353304,0.24477734333174164,0.011465381884574629,0.17417035473753575,0.017502782836132352,0.07192407530610974,0.010895340917688243
ODEInv (no LoRA),50,115,4.499812714949898,0.060398511151780125,0.3086823837594061,0.00909119005983503,0.23332974859817035,0.015826224736561617,0.21540298738071453,0.013532417665168843
ODEInv (no LoRA),75,115,5.342183143125063,0.0662466019345726,0.31548399277301364,0.008328347086088267,0.273792270793701,0.013207715650829297,0.2532034022450123,0.013866428824977852
ODEInv (no LoRA),99,115,5.431373457666758,0.0681932711684075,0.309505372148385,0.008155975268192835,0.2729444260587511,0.01279999002364777,0.25234058988483055,0.013750942811622287
ODEInv + LoRA @2000,25,115,2.87528484845507,0.03891192841102755,0.24380322438489263,0.01153978243328662,0.1738894804097388,0.01752126390604731,0.0707261254403578,0.010614147947392906
ODEInv + LoRA @2000,50,115,4.437066835942476,0.059276914100650696,0.308186971510531,0.009342995805005184,0.23295281589785388,0.01582890709017984,0.21403332878228115,0.013538978832159383
ODEInv + LoRA @2000,75,115,5.263190835109655,0.06654965340920047,0.3202902033209692,0.008406213818861454,0.26933506644614363,0.013415460138195695,0.252267521571206,0.013943003579683508
ODEInv + LoRA @2000,99,115,5.353488860372185,0.06827241760153968,0.3143525924047698,0.008059137485250034,0.27016307757003233,0.012978972185725652,0.2520274771215475,0.013956967377710698
ODEInv + LoRA @4000,25,115,2.8748629144136455,0.03900931856187896,0.24366667486862212,0.011534722345295699,0.17379466141371624,0.017499354771459502,0.07071068835161301,0.010606611818051377
ODEInv + LoRA @4000,50,115,4.437396356852158,0.05932444630240434,0.30864879854819804,0.009316672829738326,0.23306441481893314,0.015811410264468865,0.21479556029257568,0.013550815461200532
ODEInv + LoRA @4000,75,115,5.26185869662658,0.06673483483111546,0.3205064276130734,0.00840942668999954,0.2689304167971663,0.013455245904697743,0.2522305440967498,0.013963253836704612
ODEInv + LoRA @4000,99,115,5.354470229425293,0.06832372131643145,0.31475956297655033,0.00804839818801765,0.2710442143932754,0.012971827890185432,0.2526373070219289,0.013935463393183132
ODEInv + cycle k=2,25,115,2.874257347583771,0.03890071758103793,0.2437992513201375,0.011538181216162112,0.17372845566791037,0.01750528699400923,0.07057957175471209,0.010632007243804815
ODEInv + cycle k=2,50,115,4.436607750809711,0.059248148274827876,0.3086071820609757,0.009338764215543511,0.2325274497500884,0.01582187934514101,0.21458656195065248,0.013537291255260996
ODEInv + cycle k=2,75,115,5.2630864710393155,0.06660622491369797,0.3201260094646958,0.008423222395414638,0.26936241500079633,0.013420240827901853,0.2519725616697384,0.013962412836353391
ODEInv + cycle k=2,99,115,5.3538234439103505,0.06833302008756194,0.31431252294638445,0.008078054278034192,0.2702835192863384,0.012961545203314157,0.2522731461521724,0.013965260169382796
ODEInv + cycle k=3,25,115,2.87474794221961,0.03894007161583439,0.2438425343209688,0.01154086690938624,0.17381377869650075,0.017517151188825852,0.07059187946193242,0.010618207071300487
ODEInv + cycle k=3,50,115,4.4355273362519085,0.05919926477246342,0.30852504570442046,0.009337135620824258,0.23239762458201174,0.015846524975406503,0.21447612768363045,0.013524970081981735
ODEInv + cycle k=3,75,115,5.263235090504521,0.0665630866338861,0.3202537616069657,0.008419232523134753,0.26945645816462194,0.013410989252785227,0.25223548060040113,0.013937277678281108
ODEInv + cycle k=3,99,115,5.35397798438003,0.06832083534066383,0.31426453117281195,0.008067341189085463,0.2701775994561815,0.01294968833354476,0.2523534178247918,0.013941772984458875
SDEdit,25,115,4.250724230814671,0.04236903577569971,0.24139163579022427,0.011146656320328545,0.16300026215207966,0.016394308877605544,0.07661348625450677,0.011312428371751929
SDEdit,50,115,6.1450417490973,0.04099600737771249,0.33626420635055154,0.008864821039527118,0.2569736961275339,0.013738820509624402,0.25072987917000833,0.014164999811557728
SDEdit,75,115,6.480085491443027,0.040682384586786566,0.32843678080240624,0.008668250842150744,0.28116702183311726,0.013115174586633414,0.26639020993657736,0.015640488522809755
SDEdit,99,115,6.500526921921882,0.042616832555702915,0.32886688355329446,0.008275980312268798,0.2790781616638212,0.01292910635292616,0.2727849140682298,0.015016268610068537
