label,tstart,cfg,n,lpaps,clap,muq,clap_dir
no LoRA,50,3.5,115,4.499812714949898,0.3086823837594061,0.23332974859817035,0.21540298738071453
step  2000,50,3.5,115,4.437066835942476,0.308186971510531,0.23295281589785388,0.21403332878228115
step  4000,50,3.5,115,4.437396356852158,0.30864879854819804,0.23306441481893314,0.21479556029257568
step  6000,50,3.5,115,4.435212455106819,0.30822979801590894,0.23288245368546442,0.2143596454240058
step  8000,50,3.5,115,4.43516824559889,0.30809935958988527,0.23375493778300513,0.21461820431539547
step 10000,50,3.5,115,4.435508704600127,0.3083731590064269,0.23415626664241046,0.21522574321083401
step 12000,50,3.5,115,4.436025587648585,0.30844811907807446,0.23353528242770824,0.2147120803149174
step 14000,50,3.5,115,4.435531299217887,0.30826023364561084,0.2333197618105813,0.21498214440906177
step 16000,50,3.5,115,4.433561785013779,0.30841262477490566,0.23371905331985782,0.21563625351890273
step 18000,50,3.5,115,4.435486246606578,0.3080327028056364,0.23380053576648882,0.21517094180959723
step 20000,50,3.5,115,4.436967805053876,0.30809551577259225,0.23362858311030205,0.21531034665101248
step 20000 EMA,50,3.5,115,4.436347142337025,0.30820215907217796,0.2333465537241073,0.21518137479281943
no LoRA,75,3.5,115,5.342183143125063,0.31548399277301364,0.273792270793701,0.2532034022450123
step  2000,75,3.5,115,5.263190835109655,0.3202902033209692,0.26933506644614363,0.252267521571206
step  4000,75,3.5,115,5.26185869662658,0.3205064276130734,0.2689304167971663,0.2522305440967498
step  6000,75,3.5,115,5.260723586324333,0.32047882965428454,0.26919667012989523,0.25194269358382926
step  8000,75,3.5,115,5.261201139256575,0.3206476162492797,0.26933039893274724,0.25174060983421365
step 10000,75,3.5,115,5.261321283043294,0.3204021892248504,0.26945201953792053,0.2517345994225015
step 12000,75,3.5,115,5.26336674431096,0.32027687338059363,0.2693547635298708,0.2517184268197288
step 14000,75,3.5,115,5.263265721348749,0.32011856761207613,0.2692728740446593,0.25148078453443623
step 16000,75,3.5,115,5.262035860393359,0.3204849110273779,0.2689905677233701,0.251814874391193
step 18000,75,3.5,115,5.263063667960789,0.32041778232551354,0.26932597170057504,0.2517296229691609
step 20000,75,3.5,115,5.263022363220435,0.3205942119774072,0.2690350081366689,0.25156846006765315
step 20000 EMA,75,3.5,115,5.263251037770423,0.3204878595536169,0.26920936907763066,0.25161232584682497
