label,tstart,cfg,n,lpaps,clap,muq,clap_dir,arm_label
baseline (no cycle),25,3.5,115,2.87528484845507,0.24380322438489263,0.1738894804097388,0.0707261254403578,baseline (no cycle)
baseline (no cycle),50,3.5,115,4.437066835942476,0.308186971510531,0.23295281589785388,0.21403332878228115,baseline (no cycle)
baseline (no cycle),75,3.5,115,5.263190835109655,0.3202902033209692,0.26933506644614363,0.252267521571206,baseline (no cycle)
baseline (no cycle),99,3.5,115,5.353488860372185,0.3143525924047698,0.27016307757003233,0.2520274771215475,baseline (no cycle)
k2,25,3.5,115,2.874257347583771,0.2437992513201375,0.17372845566791037,0.07057957175471209,k2
k2,50,3.5,115,4.436607750809711,0.3086071820609757,0.2325274497500884,0.21458656195065248,k2
k2,75,3.5,115,5.2630864710393155,0.3201260094646958,0.26936241500079633,0.2519725616697384,k2
k2,99,3.5,115,5.3538234439103505,0.31431252294638445,0.2702835192863384,0.2522731461521724,k2
k3,25,3.5,115,2.87474794221961,0.2438425343209688,0.17381377869650075,0.07059187946193242,k3
k3,50,3.5,115,4.4355273362519085,0.30852504570442046,0.23239762458201174,0.21447612768363045,k3
k3,75,3.5,115,5.263235090504521,0.3202537616069657,0.26945645816462194,0.25223548060040113,k3
k3,99,3.5,115,5.35397798438003,0.31426453117281195,0.2701775994561815,0.2523534178247918,k3
