arm,cell,metric,delta,ci95
coarse (100-step trajectories),"w3.5
t25",lpaps,-0.038490551969279446,0.006528059194070128
coarse (100-step trajectories),"w3.5
t25",clap,-0.001110668463119561,0.0014010367207487585
coarse (100-step trajectories),"w3.5
t25",muqt_sim_p0,-0.0003756933238195328,0.0013412440470004345
dense (991-step trajectories),"w3.5
t25",lpaps,-0.038956854395244454,0.0065167294919472665
dense (991-step trajectories),"w3.5
t25",clap,-0.0010724313158973799,0.0013684944636980709
dense (991-step trajectories),"w3.5
t25",muqt_sim_p0,-0.00043443357976882124,0.00133603268265737
coarse (100-step trajectories),"w3.5
t50",lpaps,-0.062416358097739856,0.023603945037456348
coarse (100-step trajectories),"w3.5
t50",clap,-3.358521120811789e-05,0.0033610370749324
coarse (100-step trajectories),"w3.5
t50",muqt_sim_p0,-0.00026533377923719525,0.005084296017674993
dense (991-step trajectories),"w3.5
t50",lpaps,-0.06687710153883782,0.02282744184583646
dense (991-step trajectories),"w3.5
t50",clap,6.426955019866285e-05,0.003315742840758841
dense (991-step trajectories),"w3.5
t50",muqt_sim_p0,-0.0008074493835801656,0.004626625662573438
coarse (100-step trajectories),"w3.5
t75",lpaps,-0.08032444649848389,0.01080101855586227
coarse (100-step trajectories),"w3.5
t75",clap,0.005022434840059788,0.002543636044959466
coarse (100-step trajectories),"w3.5
t75",muqt_sim_p0,-0.004861853996534703,0.003830968537614541
dense (991-step trajectories),"w3.5
t75",lpaps,-0.08049850989079133,0.010887131393605488
dense (991-step trajectories),"w3.5
t75",clap,0.0046819424869465635,0.00245876454311449
dense (991-step trajectories),"w3.5
t75",muqt_sim_p0,-0.004794877002258657,0.0038787587091832524
coarse (100-step trajectories),"w3.5
t99",lpaps,-0.07690322824146437,0.010420212439477031
coarse (100-step trajectories),"w3.5
t99",clap,0.005254190828165282,0.0023669325871888544
coarse (100-step trajectories),"w3.5
t99",muqt_sim_p0,-0.0019002116654756613,0.0041878266178597195
dense (991-step trajectories),"w3.5
t99",lpaps,-0.07869932751724687,0.010294301198304703
dense (991-step trajectories),"w3.5
t99",clap,0.0051120354710281765,0.0024103818127424246
dense (991-step trajectories),"w3.5
t99",muqt_sim_p0,-0.0028460501526158502,0.004177815987501315
coarse (100-step trajectories),"w7.0
t25",lpaps,-0.030349545202393507,0.006260043746367209
coarse (100-step trajectories),"w7.0
t25",clap,-0.0018925008579980666,0.001434389393015404
coarse (100-step trajectories),"w7.0
t25",muqt_sim_p0,-0.0005816240147080081,0.0012433642616918325
dense (991-step trajectories),"w7.0
t25",lpaps,-0.030909179708232093,0.006240546841842725
dense (991-step trajectories),"w7.0
t25",clap,-0.0019249103636737354,0.0014308066848228978
dense (991-step trajectories),"w7.0
t25",muqt_sim_p0,-0.0007022733516667208,0.001220937406194589
coarse (100-step trajectories),"w7.0
t50",lpaps,-0.04809771427209822,0.016471353787201725
coarse (100-step trajectories),"w7.0
t50",clap,0.003867626956704522,0.0027814472444180676
coarse (100-step trajectories),"w7.0
t50",muqt_sim_p0,0.0024517805194077267,0.005481338318486639
dense (991-step trajectories),"w7.0
t50",lpaps,-0.05429256974786949,0.013481891223475498
dense (991-step trajectories),"w7.0
t50",clap,0.0031543696473312105,0.0027617755473054112
dense (991-step trajectories),"w7.0
t50",muqt_sim_p0,0.001083386865565958,0.005538088978922812
coarse (100-step trajectories),"w7.0
t75",lpaps,-0.06597078955691789,0.008226045763997245
coarse (100-step trajectories),"w7.0
t75",clap,0.0017090166115836442,0.0035243565090800765
coarse (100-step trajectories),"w7.0
t75",muqt_sim_p0,0.000246467700471042,0.004861268908251343
dense (991-step trajectories),"w7.0
t75",lpaps,-0.06666044452916017,0.008453851966052266
dense (991-step trajectories),"w7.0
t75",clap,0.0018047225838392137,0.0035330880035049886
dense (991-step trajectories),"w7.0
t75",muqt_sim_p0,0.0004755329664634583,0.004884623180554364
coarse (100-step trajectories),"w7.0
t99",lpaps,-0.05548488630764727,0.00984919618869753
coarse (100-step trajectories),"w7.0
t99",clap,0.003892988205441958,0.0027587807692881993
coarse (100-step trajectories),"w7.0
t99",muqt_sim_p0,0.0004423698005468994,0.0042712626740524845
dense (991-step trajectories),"w7.0
t99",lpaps,-0.0552354586988256,0.00999318566192149
dense (991-step trajectories),"w7.0
t99",clap,0.003964988131049103,0.002801949384157244
dense (991-step trajectories),"w7.0
t99",muqt_sim_p0,0.0010338332989941461,0.00427341835512287
