split,tstart,metric,delta,ci95,p
hparam,25,lpaps,-0.038490551969279446,0.006528059194070128,3.3108082861958877e-21
hparam,25,clap,-0.001110668463119561,0.0014010367207487585,0.11908733525510108
hparam,25,muqt_sim_p0,-0.0003756933238195328,0.0013412440470004345,0.5800556506788083
hparam,25,mulan_dir,0.00636782417802706,0.003774616621679743,0.0011256203226978955
hparam,50,lpaps,-0.062416358097739856,0.023603945037456348,7.500754092152926e-07
hparam,50,clap,-3.358521120811789e-05,0.0033610370749324,0.9842414363404112
hparam,50,muqt_sim_p0,-0.00026533377923719525,0.005084296017674993,0.9178415264219991
hparam,50,mulan_dir,-0.00021943458072517036,0.006212883054068852,0.9443423298109941
hparam,75,lpaps,-0.08032444649848389,0.01080101855586227,3.7407257273089343e-28
hparam,75,clap,0.005022434840059788,0.002543636044959466,0.0001563285559088527
hparam,75,muqt_sim_p0,-0.004861853996534703,0.003830968537614541,0.013330469931921501
hparam,75,mulan_dir,-0.0028547036825962674,0.00456262627470749,0.217724529384138
hparam,99,lpaps,-0.07690322824146437,0.010420212439477031,6.625084803625536e-28
hparam,99,clap,0.005254190828165282,0.0023669325871888544,2.4730661625735656e-05
hparam,99,muqt_sim_p0,-0.0019002116654756613,0.0041878266178597195,0.3706174617207916
hparam,99,mulan_dir,-0.0008078571247017885,0.003871789872862552,0.6801353078720105
genhparam,25,lpaps,-0.007250799255958499,0.004867895875293825,0.003848901630563422
genhparam,25,clap,0.0013440713347138316,0.0013693750562054085,0.054312422357620606
genhparam,25,muqt_sim_p0,-0.0009521203439520704,0.001426824748937658,0.188842430545995
genhparam,25,mulan_dir,8.080106066622859e-06,0.00625809385236639,0.9979636849425937
genhparam,50,lpaps,-0.137819421429565,0.025146307303393085,2.751242539617549e-19
genhparam,50,clap,0.004179480893847854,0.004520823474166062,0.0696492629601214
genhparam,50,muqt_sim_p0,-0.0015443904568319792,0.00566450577679478,0.590178458734206
genhparam,50,mulan_dir,0.0020338778910429546,0.008340274102624287,0.6299588738488846
genhparam,75,lpaps,-0.13259828259979464,0.021981797749560255,7.8363148170729e-22
genhparam,75,clap,0.00535968483587646,0.0033539480259646,0.001984872934869518
genhparam,75,muqt_sim_p0,0.00029306627567047985,0.004532943284399777,0.8983143539621878
genhparam,75,mulan_dir,0.006832346004312455,0.0062712148815979194,0.03300604621741617
genhparam,99,lpaps,-0.11431074221065081,0.020857786205621783,2.757679686328357e-19
genhparam,99,clap,0.007480999072878694,0.004454800099411814,0.0011832435440550164
genhparam,99,muqt_sim_p0,0.004739462276515754,0.006083285629786395,0.1255093726966792
genhparam,99,mulan_dir,0.006484413203661852,0.005878498710660596,0.030921575125906736
