arm,cfg_tar,tstart,n,lpaps,lpaps_sem,clap,clap_sem,muq,muq_sem
ODE Inv. (cfgs = 1),7.0,25,115,2.994643323836119,0.04122450377400046,0.2532152803980516,0.011399585789082501,0.18012197132262847,0.0174083760795792
ODE Inv. (cfgs = 1),7.0,50,115,4.925393361976181,0.057235353942829144,0.3323270387244343,0.008378473944741118,0.27034684445749485,0.015180649711437304
ODE Inv. (cfgs = 1),7.0,75,115,5.665832398317862,0.06206000288998225,0.33324483531857907,0.008020261968565538,0.3044712618479262,0.012333746963365545
ODE Inv. (cfgs = 1),7.0,99,115,5.7177240950819375,0.0629485838945862,0.3233910210325342,0.008353335067739344,0.3055074088923309,0.012264088734634578
ODE Inv. (cfgs = 3.5),7.0,25,115,3.004300138276557,0.040679456084299355,0.2533574359777613,0.011236436357740619,0.18098466179698058,0.01746366374219446
ODE Inv. (cfgs = 3.5),7.0,50,115,5.19823385598003,0.05734863183908417,0.3004787916098923,0.009388364622141354,0.2632540835108122,0.01455155336918628
ODE Inv. (cfgs = 3.5),7.0,75,115,5.864097260323124,0.062254258138765534,0.2952817286658978,0.010449455145585386,0.2819418478068774,0.012988176888557473
ODE Inv. (cfgs = 3.5),7.0,99,115,5.907236493704976,0.06092459810628467,0.292255434649524,0.009647829068575364,0.278193616097712,0.013321713062797464
"LoRA Inv. (shared_cfg, cfgs = 3.5)",7.0,25,115,2.9713868316878442,0.039673918056340865,0.25300395605761716,0.011317252304923605,0.18034192713726635,0.017466804751641665
"LoRA Inv. (shared_cfg, cfgs = 3.5)",7.0,50,115,5.209850352397864,0.057855540645467496,0.2888764412558057,0.009903682073084225,0.2542381454542603,0.013757229786606123
"LoRA Inv. (shared_cfg, cfgs = 3.5)",7.0,75,115,5.848852684947028,0.06494516329956881,0.28448864362499526,0.011133314228227264,0.27161550098301274,0.013846975842891648
"LoRA Inv. (shared_cfg, cfgs = 3.5)",7.0,99,115,5.8579477155726885,0.0638617801308658,0.2918815274355745,0.01009152788538213,0.2701197008075921,0.013383446849170913
"LoRA Inv. (pair_branch, cfgs = 3.5)",7.0,25,115,2.9602820650736494,0.04011176690526543,0.252842512263552,0.011464265346298028,0.17941330483578063,0.017438608247914194
"LoRA Inv. (pair_branch, cfgs = 3.5)",7.0,50,115,5.100414183243462,0.057900228469148746,0.30654172234102217,0.00915909408073466,0.2653195134849976,0.014254388905243675
"LoRA Inv. (pair_branch, cfgs = 3.5)",7.0,75,115,5.822807126114334,0.0630709984755292,0.28938397032478685,0.011422745115068446,0.2763140072155258,0.01302950729493349
"LoRA Inv. (pair_branch, cfgs = 3.5)",7.0,99,115,5.828845871427785,0.06297509999954669,0.29675967423704214,0.010101858231816615,0.2741177575743717,0.013152147555818656
