arm,cfg_tar,tstart,n,lpaps,lpaps_sem,clap,clap_sem,muq,muq_sem
ODE Inv. (cfgs = 1),3.5,25,115,2.9133534663829255,0.03957462408353304,0.24477734333174164,0.011465381884574629,0.17417035473753575,0.017502782836132352
ODE Inv. (cfgs = 1),3.5,50,115,4.499812714949898,0.060398511151780125,0.3086823837594061,0.00909119005983503,0.23332974859817035,0.015826224736561617
ODE Inv. (cfgs = 1),3.5,75,115,5.342183143125063,0.0662466019345726,0.31548399277301364,0.008328347086088267,0.273792270793701,0.013207715650829297
ODE Inv. (cfgs = 1),3.5,99,115,5.431373457666758,0.0681932711684075,0.309505372148385,0.008155975268192835,0.2729444260587511,0.01279999002364777
ODE Inv. (cfgs = 3.5),3.5,25,115,2.9570253138611275,0.039416962547750185,0.24223307076612136,0.01116709182482153,0.17425960903258428,0.017605878222069528
ODE Inv. (cfgs = 3.5),3.5,50,115,5.187366257335829,0.06586933493454292,0.21965996918916378,0.012046324428645302,0.19288554683165707,0.013199705927021398
ODE Inv. (cfgs = 3.5),3.5,75,115,5.973935190491054,0.06862841631043153,0.15957985082310558,0.014817555167531133,0.17608916695918078,0.014834618481113254
ODE Inv. (cfgs = 3.5),3.5,99,115,6.078125887539074,0.06287485500123781,0.1411141286658096,0.014437911668358162,0.15865433984537325,0.013909277625717706
LoRA Inv. (cfgs = 1),3.5,25,115,2.8748629144136455,0.03900931856187896,0.24366667486862212,0.011534722345295699,0.17379466141371624,0.017499354771459502
LoRA Inv. (cfgs = 1),3.5,50,115,4.437396356852158,0.05932444630240434,0.30864879854819804,0.009316672829738326,0.23306441481893314,0.015811410264468865
LoRA Inv. (cfgs = 1),3.5,75,115,5.26185869662658,0.06673483483111546,0.3205064276130734,0.00840942668999954,0.2689304167971663,0.013455245904697743
LoRA Inv. (cfgs = 1),3.5,99,115,5.354470229425293,0.06832372131643145,0.31475956297655033,0.00804839818801765,0.2710442143932754,0.012971827890185432
"LoRA Inv. (shared_cfg, cfgs = 3.5)",3.5,25,115,2.9103927161555356,0.03828985196439198,0.2425707375483614,0.011297517822739422,0.1749130664960198,0.01761905461125232
"LoRA Inv. (shared_cfg, cfgs = 3.5)",3.5,50,115,5.216339947140735,0.0631600102022051,0.21051424869241703,0.011519167872758944,0.1737651068535026,0.01303954379459776
"LoRA Inv. (shared_cfg, cfgs = 3.5)",3.5,75,115,6.038928235441015,0.06725751154270587,0.1294255649525861,0.014998225385397712,0.15351054107608356,0.014139819547395058
"LoRA Inv. (shared_cfg, cfgs = 3.5)",3.5,99,115,6.110742925837418,0.06627982039940246,0.11890202180401462,0.015053803680964527,0.14249339670489503,0.014175734132262507
"LoRA Inv. (pair_branch, cfgs = 3.5)",3.5,25,115,2.8920621641304187,0.03845860121779369,0.24180654693826817,0.011414460232200238,0.175057972052499,0.017614806636202157
"LoRA Inv. (pair_branch, cfgs = 3.5)",3.5,50,115,5.052894842762877,0.06402799034701612,0.2280726977113796,0.011599611382093415,0.1905026541698886,0.01316029480518246
"LoRA Inv. (pair_branch, cfgs = 3.5)",3.5,75,115,5.951764102742292,0.07020409810551553,0.15723172783149755,0.014604781522504334,0.16868563104704346,0.014140085036085687
"LoRA Inv. (pair_branch, cfgs = 3.5)",3.5,99,115,6.030616167801013,0.06872557961052456,0.14709981466252084,0.01462885922226002,0.16516545791604112,0.0139617437333139
