arm,cfg_tar,tstart,lpaps,lpaps_sem,clap,clap_sem,muq,muq_sem
"no LoRA, src=1.0",3.5,25,2.9133534663829255,0.03957462408353304,0.24477734333174164,0.011465381884574629,0.17417035473753575,0.017502782836132352
"no LoRA, src=1.0",3.5,50,4.499812714949898,0.060398511151780125,0.3086823837594061,0.00909119005983503,0.23332974859817035,0.015826224736561617
"no LoRA, src=1.0",3.5,75,5.342183143125063,0.0662466019345726,0.31548399277301364,0.008328347086088267,0.273792270793701,0.013207715650829297
"no LoRA, src=1.0",3.5,99,5.431373457666758,0.0681932711684075,0.309505372148385,0.008155975268192835,0.2729444260587511,0.01279999002364777
"no LoRA, src=1.0",7.0,25,2.994643323836119,0.04122450377400046,0.2532152803980516,0.011399585789082501,0.18012197132262847,0.0174083760795792
"no LoRA, src=1.0",7.0,50,4.925393361976181,0.057235353942829144,0.3323270387244343,0.008378473944741118,0.27034684445749485,0.015180649711437304
"no LoRA, src=1.0",7.0,75,5.665832398317862,0.06206000288998225,0.33324483531857907,0.008020261968565538,0.3044712618479262,0.012333746963365545
"no LoRA, src=1.0",7.0,99,5.7177240950819375,0.0629485838945862,0.3233910210325342,0.008353335067739344,0.3055074088923309,0.012264088734634578
"w=1 adapter, src=1.0",3.5,25,2.87528484845507,0.03891192841102755,0.24380322438489263,0.01153978243328662,0.1738894804097388,0.01752126390604731
"w=1 adapter, src=1.0",3.5,50,4.437066835942476,0.059276914100650696,0.308186971510531,0.009342995805005184,0.23295281589785388,0.01582890709017984
"w=1 adapter, src=1.0",3.5,75,5.263190835109655,0.06654965340920047,0.3202902033209692,0.008406213818861454,0.26933506644614363,0.013415460138195695
"w=1 adapter, src=1.0",3.5,99,5.353488860372185,0.06827241760153968,0.3143525924047698,0.008059137485250034,0.27016307757003233,0.012978972185725652
"no LoRA, src=3.5",3.5,25,2.9570253138611275,0.039416962547750185,0.24223307076612136,0.01116709182482153,0.17425960903258428,0.017605878222069528
"no LoRA, src=3.5",3.5,50,5.187366257335829,0.06586933493454292,0.21965996918916378,0.012046324428645302,0.19288554683165707,0.013199705927021398
"no LoRA, src=3.5",3.5,75,5.973935190491054,0.06862841631043153,0.15957985082310558,0.014817555167531133,0.17608916695918078,0.014834618481113254
"no LoRA, src=3.5",3.5,99,6.078125887539074,0.06287485500123781,0.1411141286658096,0.014437911668358162,0.15865433984537325,0.013909277625717706
"no LoRA, src=3.5",7.0,25,3.004300138276557,0.040679456084299355,0.2533574359777613,0.011236436357740619,0.18098466179698058,0.01746366374219446
"no LoRA, src=3.5",7.0,50,5.19823385598003,0.05734863183908417,0.3004787916098923,0.009388364622141354,0.2632540835108122,0.01455155336918628
"no LoRA, src=3.5",7.0,75,5.864097260323124,0.062254258138765534,0.2952817286658978,0.010449455145585386,0.2819418478068774,0.012988176888557473
"no LoRA, src=3.5",7.0,99,5.907236493704976,0.06092459810628467,0.292255434649524,0.009647829068575364,0.278193616097712,0.013321713062797464
"CFG adapter, src=3.5",3.5,25,2.9103927161555356,0.03828985196439198,0.2425707375483614,0.011297517822739422,0.1749130664960198,0.01761905461125232
"CFG adapter, src=3.5",3.5,50,5.216339947140735,0.0631600102022051,0.21051424869241703,0.011519167872758944,0.1737651068535026,0.01303954379459776
"CFG adapter, src=3.5",3.5,75,6.038928235441015,0.06725751154270587,0.1294255649525861,0.014998225385397712,0.15351054107608356,0.014139819547395058
"CFG adapter, src=3.5",3.5,99,6.110742925837418,0.06627982039940246,0.11890202180401462,0.015053803680964527,0.14249339670489503,0.014175734132262507
"CFG adapter, src=3.5",7.0,25,2.9713868316878442,0.039673918056340865,0.25300395605761716,0.011317252304923605,0.18034192713726635,0.017466804751641665
