arm,tstart,steps,nfe,depth,n,cfg_tar,run,lpaps,lpaps_sem,clap,clap_sem,muq,muq_sem,clap_dir,clap_dir_sem
DDPM-inv,30,120,300,25,115,3.5,stableaudio_ddpm_nolora_hparam_nfe300_t30_s120_cfgtar3.5,2.8439441580184996,0.03764325209728016,0.2362632645155046,0.011611587106049521,0.17521644557380806,0.01741951138140954,0.06306197100278474,0.009876061673980033
DDPM-inv,50,100,300,50,115,3.5,stableaudio_ddpm_nolora_hparam_nfe300_t50_s100_cfgtar3.5,3.4833777389491813,0.058939326258108674,0.2879013283218702,0.010617097269125143,0.201707560592331,0.016443974064709373,0.16482237264837907,0.01190484809616674
DDPM-inv,64,86,300,74,115,3.5,stableaudio_ddpm_nolora_hparam_nfe300_t64_s86_cfgtar3.5,4.168555456486302,0.07418211780094171,0.3064764028317903,0.009103550095948095,0.22157341908744496,0.015107911202045089,0.19048165964853506,0.012282262907370937
DDPM-inv,75,75,300,100,115,3.5,stableaudio_ddpm_nolora_hparam_nfe300_t75_s75_cfgtar3.5,4.208448037220084,0.07365417380917655,0.31127335554825647,0.008894575128513969,0.22490054938294318,0.015027892687610286,0.20182535453982975,0.012937906114455666
ODEInv (no LoRA),99,396,300,25,115,3.5,stableaudio_odeinv_nolora_hparam_nfe300_t99_s396_cfgtar3.5,2.8733372835491013,0.03890798979775752,0.24252584924745926,0.011560274205695985,0.1737102157557788,0.017501235111118646,0.07001835764993145,0.010791503323908254
ODEInv (no LoRA),99,198,300,50,115,3.5,stableaudio_odeinv_nolora_hparam_nfe300_t99_s198_cfgtar3.5,4.469835588310075,0.060298670832326456,0.30717493640339893,0.009289983611828125,0.23065948417288779,0.015978717334421206,0.21259161457419395,0.013499672565497571
ODEInv (no LoRA),99,132,300,75,115,3.5,stableaudio_odeinv_nolora_hparam_nfe300_t99_s132_cfgtar3.5,5.330716830820277,0.06626509801449086,0.3169720650410306,0.008389887228792234,0.27270616147383725,0.013345986467027369,0.2529418348415714,0.013907200186950717
ODEInv (no LoRA),99,100,300,99,115,3.5,stableaudio_odeinv_nolora_hparam_nfe300_t99_s100_cfgtar3.5,5.431373457666758,0.0681932711684075,0.309505372148385,0.008155975268192835,0.2729444260587511,0.01279999002364777,0.25234058988483055,0.013750942811622287
ODEInv w/ LoRA bw,99,396,300,25,115,3.5,stableaudio_odeinvlora_saocos_r8_a4_lr5e-5_checkpoint_step_4000_hparam_nfe300_t99_s396_cfgtar3.5,2.849112116132958,0.038623290931927116,0.24141539506762677,0.011563609783855127,0.17290179027325434,0.01749724164937339,0.06987773405549964,0.010368876466942433
ODEInv w/ LoRA bw,99,198,300,50,115,3.5,stableaudio_odeinvlora_saocos_r8_a4_lr5e-5_checkpoint_step_4000_hparam_nfe300_t99_s198_cfgtar3.5,4.400053748462511,0.05838690811365436,0.3074141532638906,0.009465208176933946,0.2315774178021061,0.01599017701945681,0.21060031546360772,0.013663525444253078
ODEInv w/ LoRA bw,99,132,300,75,115,3.5,stableaudio_odeinvlora_saocos_r8_a4_lr5e-5_checkpoint_step_4000_hparam_nfe300_t99_s132_cfgtar3.5,5.250491369668988,0.06656823511347386,0.3205888339334532,0.00839222790930842,0.2687303017156766,0.013626288697699761,0.25151226909264274,0.01410671697377681
ODEInv w/ LoRA bw,99,100,300,99,115,3.5,stableaudio_odeinvlora_saocos_r8_a4_lr5e-5_checkpoint_step_4000_hparam_nfe300_t99_s100_cfgtar3.5,5.354470229425293,0.06832372131643145,0.31475956297655033,0.00804839818801765,0.2710442143932754,0.012971827890185432,0.2526373070219289,0.013935463393183132
SDEdit,150,600,300,25,115,3.5,stableaudio_sdedit_nolora_hparam_nfe300_t150_s600_cfgtar3.5,4.348946862808172,0.042214793595091116,0.2445242820049811,0.010928013488021299,0.15880890253668084,0.016034807729297183,0.07964732946989973,0.011205280715677867
SDEdit,150,300,300,50,115,3.5,stableaudio_sdedit_nolora_hparam_nfe300_t150_s300_cfgtar3.5,6.174339684472568,0.04025709300686496,0.34257515101923025,0.009081288557050007,0.2599999474685477,0.013597152802796124,0.25269146269268317,0.014150303545551557
SDEdit,150,200,300,75,115,3.5,stableaudio_sdedit_nolora_hparam_nfe300_t150_s200_cfgtar3.5,6.48167851337488,0.04043264791021141,0.3290346764567969,0.00882969675908952,0.28126788393229896,0.013046146346712783,0.26706425260914407,0.01568594177300661
SDEdit,150,150,300,100,115,3.5,stableaudio_sdedit_nolora_hparam_nfe300_t150_s150_cfgtar3.5,6.504316495466924,0.042241733608833404,0.32927724246313606,0.00853846568066145,0.28122513573464897,0.012896203449495105,0.272075911530334,0.015336085874961908
