arm,tstart,steps,nfe,depth,n,cfg_tar,run,lpaps,lpaps_sem,clap,clap_sem,muq,muq_sem,clap_dir,clap_dir_sem,mulan_dir,mulan_dir_sem
DDPM-inv,30,120,300,25,115,3.5,stableaudio_ddpm_nolora_genhparam_nfe300_t30_s120_cfgtar3.5,1.5496183874252916,0.02515853020822381,0.19674682170206653,0.01089907353258783,0.11708745627623535,0.01136135788769607,0.02324804191518089,0.010707227600865336,0.05079475157772717,0.013458508031599868
DDPM-inv,50,100,300,50,115,3.5,stableaudio_ddpm_nolora_genhparam_nfe300_t50_s100_cfgtar3.5,2.1059614060322445,0.0545295439247784,0.2384284638262529,0.010153246908079928,0.1542598958613108,0.011801108483497786,0.10177345407073912,0.01223801682293947,0.12067133016560389,0.016576965579707236
DDPM-inv,64,86,300,74,115,3.5,stableaudio_ddpm_nolora_genhparam_nfe300_t64_s86_cfgtar3.5,3.1319781717182926,0.0916665954369099,0.26580226855028577,0.009835138326887575,0.17858845741366564,0.012697307307940409,0.138971218701614,0.013891671848967155,0.14813523471517406,0.015312540866970927
DDPM-inv,75,75,300,100,115,3.5,stableaudio_ddpm_nolora_genhparam_nfe300_t75_s75_cfgtar3.5,3.1556384609056556,0.09657388184098054,0.2684245948893005,0.010053052525927284,0.17458364066627363,0.012561636920722796,0.14148486536806043,0.014140618385121316,0.14710460602427305,0.015700558859788903
DDPM-inv,30,120,300,25,115,7.0,stableaudio_ddpm_nolora_genhparam_nfe300_t30_s120_cfgtar7.0,1.625924159081086,0.02621739770828172,0.20745155207826282,0.011074352767353404,0.12718899441963952,0.011544158083449281,0.038420248715935836,0.01162046730134765,0.07154699917072835,0.014544505859461453
DDPM-inv,50,100,300,50,115,7.0,stableaudio_ddpm_nolora_genhparam_nfe300_t50_s100_cfgtar7.0,2.918103357786718,0.07553445009046027,0.2819070334473382,0.009983900961761168,0.19494906884172689,0.012021856460666903,0.14549079336954848,0.01298246422089391,0.15959906577254118,0.016106802716859405
DDPM-inv,64,86,300,74,115,7.0,stableaudio_ddpm_nolora_genhparam_nfe300_t64_s86_cfgtar7.0,3.883245269595713,0.09090194013800701,0.29994411422857553,0.0092650040753212,0.21523341592502496,0.012300863112438361,0.1717499986452901,0.013536443615493216,0.1672355196884145,0.016300638060149843
DDPM-inv,75,75,300,100,115,7.0,stableaudio_ddpm_nolora_genhparam_nfe300_t75_s75_cfgtar7.0,3.91517739686413,0.09070642337389281,0.2951416471234753,0.009362972043803337,0.20931297608792943,0.01215172641961636,0.1705311433493119,0.014252368589265893,0.16969373344403246,0.016424375409597472
DDPM-inv,30,120,300,25,115,10.5,stableaudio_ddpm_nolora_genhparam_nfe300_t30_s120_cfgtar10.5,1.738620389337125,0.02849141129406699,0.21717857837420546,0.011037245951076516,0.13732252351878937,0.011711536315697673,0.05064036561500118,0.012292493228532146,0.09061460818123558,0.015858030264982836
DDPM-inv,50,100,300,50,115,10.5,stableaudio_ddpm_nolora_genhparam_nfe300_t50_s100_cfgtar10.5,3.5267487738702608,0.08038799389310858,0.3056329471825798,0.009629856949696381,0.22534475729638792,0.012346332449071068,0.1627848112753228,0.014175694261995315,0.18122301856055856,0.016095178439047488
