arm,tstart,steps,nfe,depth,cfg_tar,n,run,lpaps,lpaps_sem,clap,clap_sem,muq,muq_sem
DDIM Inv.,200,800,800,25,6.0,115,audioldm2_ddim_nolora_hparam_nfe800_t200_s800_cfgtar6.0,3.878246722507674,0.0408353862157244,0.2580920002243518,0.011515710165495087,0.1788153953263131,0.016905127903949883
DDIM Inv.,200,400,800,50,6.0,115,audioldm2_ddim_nolora_hparam_nfe800_t200_s400_cfgtar6.0,4.160381961002113,0.04993205018574849,0.30523242357281455,0.011055848094337632,0.22763399002749635,0.01631110334186199
DDIM Inv.,200,200,800,100,6.0,115,audioldm2_ddim_nolora_hparam_nfe800_t200_s200_cfgtar6.0,5.7784716978527255,0.06003084947213586,0.3449464009321964,0.010354383425873984,0.33939000376621664,0.013929219459652014
DDIM Inv.,200,800,800,25,12.0,115,audioldm2_ddim_nolora_hparam_nfe800_t200_s800_cfgtar12.0,3.951506483169817,0.04195076209581777,0.2711008871917846,0.011393150167442986,0.19214487329692295,0.016733462933927322
DDIM Inv.,200,400,800,50,12.0,115,audioldm2_ddim_nolora_hparam_nfe800_t200_s400_cfgtar12.0,4.438228761986917,0.05151847374209004,0.3302994362497798,0.010503093556154072,0.2654169120542381,0.015964554138767836
DDIM Inv.,200,200,800,100,12.0,115,audioldm2_ddim_nolora_hparam_nfe800_t200_s200_cfgtar12.0,6.071266707031376,0.05298986546784915,0.34533138128928836,0.010637963482341872,0.33882659938105425,0.01323434837938472
DDIM Inv. + LoRA (Gen),200,800,800,25,6.0,115,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_hparam_nfe800_t200_s800_cfgtar6.0,3.87886837154195,0.04074511324188413,0.2576538723588807,0.011530579521234098,0.17881171346196661,0.016898130049625145
DDIM Inv. + LoRA (Gen),200,400,800,50,6.0,115,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_hparam_nfe800_t200_s400_cfgtar6.0,4.158931637980182,0.04985113222934739,0.3049823243729385,0.010982824699875942,0.22633641347309333,0.0163019944256143
DDIM Inv. + LoRA (Gen),200,200,800,100,6.0,115,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_hparam_nfe800_t200_s200_cfgtar6.0,5.797534809833235,0.05981974594102491,0.34073272723901254,0.010523196378297878,0.33736590231242386,0.013746008094843085
DDIM Inv. + LoRA (Gen),200,800,800,25,12.0,115,audioldm2_ddimlora_attn_r8_a4_lr5e-5_checkpoint_step_4000_hparam_nfe800_t200_s800_cfgtar12.0,3.9494818355281898,0.041879036278456634,0.2706210515325345,0.011384605490428053,0.19153032293138297,0.01671862998540664
