arm,cell,metric,delta,ci95
trajectory LoRA @4000,"w3.5
t25",lpaps,-0.038490551969279446,0.006528059194070128
trajectory LoRA @4000,"w3.5
t25",clap,-0.001110668463119561,0.0014010367207487585
trajectory LoRA @4000,"w3.5
t25",muqt_sim_p0,-0.0003756933238195328,0.0013412440470004345
real-audio forward-noise,"w3.5
t25",lpaps,-0.01315133614816524,0.008039846373828178
real-audio forward-noise,"w3.5
t25",clap,-0.0009428229150564718,0.0018974871698049208
real-audio forward-noise,"w3.5
t25",muqt_sim_p0,-0.00018846898785103742,0.0017836269633026397
trajectory LoRA @4000,"w3.5
t50",lpaps,-0.062416358097739856,0.023603945037456348
trajectory LoRA @4000,"w3.5
t50",clap,-3.358521120811789e-05,0.0033610370749324
trajectory LoRA @4000,"w3.5
t50",muqt_sim_p0,-0.00026533377923719525,0.005084296017674993
real-audio forward-noise,"w3.5
t50",lpaps,-0.151684485933055,0.07700436474842833
real-audio forward-noise,"w3.5
t50",clap,-0.01431287821328294,0.00812487907449568
real-audio forward-noise,"w3.5
t50",muqt_sim_p0,-0.020957789259314862,0.011626575275799324
trajectory LoRA @4000,"w3.5
t75",lpaps,-0.08032444649848389,0.01080101855586227
trajectory LoRA @4000,"w3.5
t75",clap,0.005022434840059788,0.002543636044959466
trajectory LoRA @4000,"w3.5
t75",muqt_sim_p0,-0.004861853996534703,0.003830968537614541
real-audio forward-noise,"w3.5
t75",lpaps,-0.22142725913420971,0.06328093061832973
real-audio forward-noise,"w3.5
t75",clap,-0.007039443021775164,0.013963922222651904
real-audio forward-noise,"w3.5
t75",muqt_sim_p0,0.00036134658502820494,0.015260285679761666
trajectory LoRA @4000,"w3.5
t99",lpaps,-0.07690322824146437,0.010420212439477031
trajectory LoRA @4000,"w3.5
t99",clap,0.005254190828165282,0.0023669325871888544
trajectory LoRA @4000,"w3.5
t99",muqt_sim_p0,-0.0019002116654756613,0.0041878266178597195
real-audio forward-noise,"w3.5
t99",lpaps,-0.21884737104609395,0.06731121853426524
real-audio forward-noise,"w3.5
t99",clap,-0.016938067558558947,0.013845539065558103
real-audio forward-noise,"w3.5
t99",muqt_sim_p0,-0.012462916314277962,0.01596280546368935
trajectory LoRA @4000,"w7.0
t25",lpaps,-0.030349545202393507,0.006260043746367209
trajectory LoRA @4000,"w7.0
t25",clap,-0.0018925008579980666,0.001434389393015404
trajectory LoRA @4000,"w7.0
t25",muqt_sim_p0,-0.0005816240147080081,0.0012433642616918325
real-audio forward-noise,"w7.0
t25",lpaps,-0.011414017141729179,0.00892074174882999
real-audio forward-noise,"w7.0
t25",clap,-0.0016108263868406635,0.0018102959837510016
real-audio forward-noise,"w7.0
t25",muqt_sim_p0,4.5784204469423076e-05,0.0017665410365267766
trajectory LoRA @4000,"w7.0
t50",lpaps,-0.04809771427209822,0.016471353787201725
trajectory LoRA @4000,"w7.0
t50",clap,0.003867626956704522,0.0027814472444180676
trajectory LoRA @4000,"w7.0
t50",muqt_sim_p0,0.0024517805194077267,0.005481338318486639
real-audio forward-noise,"w7.0
t50",lpaps,-0.16823666448178495,0.058957723175926346
real-audio forward-noise,"w7.0
t50",clap,-0.0008380187285281207,0.009790437410824292
real-audio forward-noise,"w7.0
t50",muqt_sim_p0,-0.001689237320755164,0.01195661258652013
trajectory LoRA @4000,"w7.0
t75",lpaps,-0.06597078955691789,0.008226045763997245
trajectory LoRA @4000,"w7.0
t75",clap,0.0017090166115836442,0.0035243565090800765
trajectory LoRA @4000,"w7.0
t75",muqt_sim_p0,0.000246467700471042,0.004861268908251343
real-audio forward-noise,"w7.0
t75",lpaps,-0.15199394740920133,0.04841468183251354
real-audio forward-noise,"w7.0
t75",clap,-0.005724378339068935,0.008518827626306335
real-audio forward-noise,"w7.0
t75",muqt_sim_p0,-0.0013667602739904283,0.012262838709707935
trajectory LoRA @4000,"w7.0
t99",lpaps,-0.05548488630764727,0.00984919618869753
trajectory LoRA @4000,"w7.0
t99",clap,0.003892988205441958,0.0027587807692881993
trajectory LoRA @4000,"w7.0
t99",muqt_sim_p0,0.0004423698005468994,0.0042712626740524845
real-audio forward-noise,"w7.0
t99",lpaps,-0.1588090771523075,0.043502877173606624
real-audio forward-noise,"w7.0
t99",clap,-0.005150474097876666,0.010120631352289933
real-audio forward-noise,"w7.0
t99",muqt_sim_p0,-0.00439675037303696,0.013839310291934774
