checkpoint,tstart,cfg_tar,metric,delta,ci95,p,better,n_better,n
attn_r32_a16_lr2e-4_checkpoint_step_4000,50,12.0,lpaps,-0.0029463126348412763,0.0015597129592008342,0.00033060137963682466,lower,75,115
attn_r32_a16_lr2e-4_checkpoint_step_4000,50,6.0,lpaps,-0.0012639934676033913,0.0013601701819080285,0.07116682149325537,lower,55,115
attn_r32_a16_lr2e-4_checkpoint_step_4000,100,6.0,lpaps,0.004039304207077227,0.008755306807099838,0.3677667724837914,lower,58,115
attn_r32_a16_lr2e-4_checkpoint_step_4000,100,12.0,lpaps,-0.003637034917716925,0.004384606606607694,0.10674895155792001,lower,76,115
attn_r32_a16_lr2e-4_checkpoint_step_4000,150,6.0,lpaps,0.006351362957964321,0.007023064757707495,0.07897587995175903,lower,53,115
attn_r32_a16_lr2e-4_checkpoint_step_4000,150,12.0,lpaps,0.0019394928969705158,0.012064935393005714,0.7532777816193319,lower,58,115
attn_r32_a16_lr2e-4_checkpoint_step_4000,200,12.0,lpaps,0.002324616222894936,0.007476244886396028,0.5434521729012253,lower,49,115
attn_r32_a16_lr2e-4_checkpoint_step_4000,200,6.0,lpaps,0.01024983245146697,0.008499369761247027,0.019787385151586352,lower,49,115
attn_r32_a16_lr2e-4_checkpoint_step_4000_ema,50,12.0,lpaps,-0.0028303689344575853,0.0014992233336893728,0.00033316152557975355,lower,72,115
attn_r32_a16_lr2e-4_checkpoint_step_4000_ema,50,6.0,lpaps,-0.001089169184366802,0.0013842216076135315,0.12579197199638817,lower,54,115
attn_r32_a16_lr2e-4_checkpoint_step_4000_ema,100,6.0,lpaps,0.003736326126825267,0.008268420103822116,0.3776527839119542,lower,59,115
attn_r32_a16_lr2e-4_checkpoint_step_4000_ema,100,12.0,lpaps,-0.0032994756195115905,0.0043767797150859105,0.14228193283796042,lower,74,115
attn_r32_a16_lr2e-4_checkpoint_step_4000_ema,150,6.0,lpaps,0.007384402880263828,0.006954685760076649,0.03966379715533272,lower,51,115
attn_r32_a16_lr2e-4_checkpoint_step_4000_ema,150,12.0,lpaps,0.001485385993499485,0.011744466984010988,0.8046641118651593,lower,59,115
attn_r32_a16_lr2e-4_checkpoint_step_4000_ema,200,12.0,lpaps,0.003560973428050898,0.00692009621893601,0.3153094850606187,lower,49,115
attn_r32_a16_lr2e-4_checkpoint_step_4000_ema,200,6.0,lpaps,0.01065739984097686,0.0084819107987976,0.015284508105069997,lower,45,115
full_r8_a4_lr5e-4_checkpoint_step_2000,50,12.0,lpaps,-0.005461490879888162,0.0018022059845260346,3.1617705704921426e-08,lower,94,115
full_r8_a4_lr5e-4_checkpoint_step_2000,50,6.0,lpaps,-0.004195446489266967,0.0017284988008669702,5.7914668552994135e-06,lower,82,115
full_r8_a4_lr5e-4_checkpoint_step_2000,100,6.0,lpaps,-0.0035126262619381574,0.006178023352474154,0.26745444625974585,lower,78,115
full_r8_a4_lr5e-4_checkpoint_step_2000,100,12.0,lpaps,-0.007839138132691674,0.00417262178086381,0.0003548825936600371,lower,80,115
full_r8_a4_lr5e-4_checkpoint_step_2000,150,6.0,lpaps,0.002736197539738285,0.007578525896598887,0.4806065889386093,lower,58,115
full_r8_a4_lr5e-4_checkpoint_step_2000,150,12.0,lpaps,-0.005331009850985764,0.007478779168244781,0.16508991309983778,lower,63,115
full_r8_a4_lr5e-4_checkpoint_step_2000,200,12.0,lpaps,0.0025733028139386838,0.008011255537677927,0.5302334483550888,lower,48,115
full_r8_a4_lr5e-4_checkpoint_step_2000,200,6.0,lpaps,0.010906761210897689,0.009849889448060157,0.03205823529369876,lower,48,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,50,12.0,lpaps,-0.0023641343788083917,0.0014183435244088222,0.0014364748288110127,lower,68,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,50,6.0,lpaps,-0.0007299356134781986,0.0013242306457387756,0.282252827128755,lower,54,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,100,6.0,lpaps,0.001190379391545881,0.006308593276330273,0.7121909981362156,lower,66,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,100,12.0,lpaps,-0.003907022959944082,0.0041388530708550775,0.06687209964830094,lower,76,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,150,6.0,lpaps,0.0020227551262818606,0.00628970756713087,0.5297392989243501,lower,55,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,150,12.0,lpaps,-0.002667836471620765,0.010973555344888725,0.634626345108876,lower,66,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,200,12.0,lpaps,-0.006107694692986892,0.006084298755030278,0.05155011939015565,lower,61,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,200,6.0,lpaps,0.0033938990764736635,0.007400495805252956,0.3706195429375665,lower,55,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000,50,12.0,lpaps,-0.0020552004642367997,0.0016915431786439724,0.018905145730313842,lower,64,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000,50,6.0,lpaps,-0.00011604379669724777,0.0015217964420724123,0.8814557214885027,lower,54,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000,100,6.0,lpaps,0.005917073554874271,0.00993231148926382,0.24538430763705968,lower,56,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000,100,12.0,lpaps,-0.003533084466590654,0.004753485426772381,0.14792235010686985,lower,72,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000,150,6.0,lpaps,0.004397843846623232,0.007769404979796963,0.2695705767130917,lower,55,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000,150,12.0,lpaps,-0.007149376849456848,0.007796145963622746,0.074919764952011,lower,67,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000,200,12.0,lpaps,-0.00755163377362995,0.009603970512791528,0.1260504834506388,lower,65,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000,200,6.0,lpaps,-9.884299205199848e-05,0.011613550233001152,0.9867198094363965,lower,54,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000_ema,50,12.0,lpaps,-0.00212496603004189,0.001655182893699014,0.01325073547677082,lower,65,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000_ema,50,6.0,lpaps,0.0002066286898548211,0.001625485675916848,0.8036919195102039,lower,52,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000_ema,100,6.0,lpaps,0.004696038919452854,0.00974879031021641,0.3470941126787461,lower,61,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000_ema,100,12.0,lpaps,-0.004614286585624181,0.004622246951012606,0.052836996296077555,lower,73,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000_ema,150,6.0,lpaps,-0.00041251260548150133,0.007258586031621835,0.9115039744521222,lower,57,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000_ema,150,12.0,lpaps,-0.008633428024702662,0.007647454994714717,0.02891087337605056,lower,70,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000_ema,200,12.0,lpaps,-0.00776118393023315,0.008873449800168813,0.08918771715367071,lower,64,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000_ema,200,6.0,lpaps,-0.0006195775519740435,0.010083195755053927,0.9043503901633658,lower,58,115
DDPM-inv,50,12.0,lpaps,0.06890774509181147,0.013550122889204222,3.309487771888517e-17,lower,11,115
DDPM-inv,50,6.0,lpaps,0.018170434895509523,0.008560484494333116,6.189151745506824e-05,lower,22,115
DDPM-inv,100,6.0,lpaps,-0.12830346285679817,0.04202979110671508,2.5802617105570507e-08,lower,93,115
DDPM-inv,100,12.0,lpaps,0.013182648329014142,0.042005075982501375,0.5397041192593659,lower,57,115
DDPM-inv,150,6.0,lpaps,-0.40615536476020736,0.07441247463482845,6.482750343979341e-19,lower,103,115
DDPM-inv,150,12.0,lpaps,-0.20753956366276394,0.05954570299810073,4.344896865472155e-10,lower,85,115
DDPM-inv,200,12.0,lpaps,-0.17288218994811957,0.07278325145937947,8.792465016767136e-06,lower,77,115
DDPM-inv,200,6.0,lpaps,-0.2914406612546301,0.08460812546381297,6.446080590652082e-10,lower,82,115
SDEdit,50,12.0,lpaps,0.5303010345887447,0.03408492754489138,1.1951067496180045e-56,lower,0,115
SDEdit,50,6.0,lpaps,0.5727802423710163,0.03342838411880007,5.9482128726707866e-61,lower,0,115
SDEdit,100,6.0,lpaps,0.9977864452869502,0.07583882735863323,2.1530241415892654e-49,lower,1,115
SDEdit,100,12.0,lpaps,0.7586030269952543,0.06475472328786895,1.439148664255987e-44,lower,1,115
SDEdit,150,6.0,lpaps,0.9684172625867477,0.10227362429128409,3.048043960944446e-36,lower,3,115
SDEdit,150,12.0,lpaps,0.6909881820737944,0.06598326536709204,4.338304928839797e-40,lower,3,115
SDEdit,200,12.0,lpaps,0.6978981251943678,0.06233716200150547,9.83651218220914e-43,lower,1,115
SDEdit,200,6.0,lpaps,0.9517190615138651,0.08289183455683047,9.473016778382331e-44,lower,2,115
attn_r32_a16_lr2e-4_checkpoint_step_4000,50,12.0,psnr,0.0014036842490231757,0.0041695467865074335,0.510689342876437,higher,26,115
attn_r32_a16_lr2e-4_checkpoint_step_4000,50,6.0,psnr,0.0004753193554239735,0.003840133647876873,0.8087492993825862,higher,23,115
attn_r32_a16_lr2e-4_checkpoint_step_4000,100,6.0,psnr,0.0034186069497186334,0.005579932987200085,0.232311922582633,higher,51,115
attn_r32_a16_lr2e-4_checkpoint_step_4000,100,12.0,psnr,0.0037210376583044595,0.004774675766014043,0.12941093297543627,higher,56,115
attn_r32_a16_lr2e-4_checkpoint_step_4000,150,6.0,psnr,0.010247221662482191,0.011424439354384187,0.08142561013426604,higher,59,115
attn_r32_a16_lr2e-4_checkpoint_step_4000,150,12.0,psnr,0.002538960075226796,0.01271666779712673,0.6962868014687027,higher,48,115
attn_r32_a16_lr2e-4_checkpoint_step_4000,200,12.0,psnr,0.008402008109572635,0.03682190592799483,0.655556117491116,higher,58,115
attn_r32_a16_lr2e-4_checkpoint_step_4000,200,6.0,psnr,-0.018120391546624134,0.036288671646272065,0.3297972936935789,higher,48,115
attn_r32_a16_lr2e-4_checkpoint_step_4000_ema,50,12.0,psnr,0.0018648193885879997,0.003998406323504302,0.3625801715829524,higher,27,115
attn_r32_a16_lr2e-4_checkpoint_step_4000_ema,50,6.0,psnr,0.0010492744999691748,0.0037233330562338584,0.5817908224291575,higher,25,115
attn_r32_a16_lr2e-4_checkpoint_step_4000_ema,100,6.0,psnr,0.004471327150763586,0.0053953760015267105,0.1070699704466174,higher,52,115
attn_r32_a16_lr2e-4_checkpoint_step_4000_ema,100,12.0,psnr,0.005390750645062055,0.0046700266978244856,0.02556183741011209,higher,58,115
attn_r32_a16_lr2e-4_checkpoint_step_4000_ema,150,6.0,psnr,0.011787822431884967,0.011113672382812972,0.03987063383658317,higher,58,115
attn_r32_a16_lr2e-4_checkpoint_step_4000_ema,150,12.0,psnr,0.00699961558068119,0.012429284402875872,0.2720112531275364,higher,53,115
attn_r32_a16_lr2e-4_checkpoint_step_4000_ema,200,12.0,psnr,0.0080802436230435,0.0372623333031237,0.6716224625771035,higher,58,115
attn_r32_a16_lr2e-4_checkpoint_step_4000_ema,200,6.0,psnr,-0.01544815759717204,0.0368612767885305,0.41312470811634894,higher,50,115
full_r8_a4_lr5e-4_checkpoint_step_2000,50,12.0,psnr,-0.0015620020238705046,0.003739534496357162,0.414670724863622,higher,23,115
full_r8_a4_lr5e-4_checkpoint_step_2000,50,6.0,psnr,-0.002144102951356152,0.003409331659525789,0.2202501236059236,higher,23,115
full_r8_a4_lr5e-4_checkpoint_step_2000,100,6.0,psnr,0.0015287639117583843,0.005248395389040652,0.5691823212627167,higher,49,115
full_r8_a4_lr5e-4_checkpoint_step_2000,100,12.0,psnr,0.0003502976597401518,0.005014412047000811,0.8913339572210217,higher,42,115
full_r8_a4_lr5e-4_checkpoint_step_2000,150,6.0,psnr,0.008233370697617821,0.009345509850566402,0.08692037754087362,higher,52,115
full_r8_a4_lr5e-4_checkpoint_step_2000,150,12.0,psnr,0.00378316757103899,0.012258222711985463,0.5464471008544116,higher,49,115
full_r8_a4_lr5e-4_checkpoint_step_2000,200,12.0,psnr,-0.0025272115133690397,0.04059796874351617,0.9031063751214501,higher,56,115
full_r8_a4_lr5e-4_checkpoint_step_2000,200,6.0,psnr,-0.02630415745634442,0.03581343024324488,0.15272778065147974,higher,51,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,50,12.0,psnr,0.0007345190041105067,0.003319822411821992,0.6653585821102274,higher,24,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,50,6.0,psnr,-2.856033322801589e-05,0.0030685969681414527,0.9854774505050924,higher,21,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,100,6.0,psnr,0.00263804967396758,0.004498905852091227,0.2528392278668002,higher,55,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,100,12.0,psnr,0.0036231479541964417,0.003966315478805675,0.07604068363456486,higher,61,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,150,6.0,psnr,0.011623885418015519,0.008302956081372565,0.007053605708080161,higher,57,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,150,12.0,psnr,0.004679256678990261,0.009561126991766242,0.3394716764869493,higher,54,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,200,12.0,psnr,0.006051481653628235,0.03130234959770388,0.7054563931692936,higher,62,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,200,6.0,psnr,-0.017503826919663477,0.029972834473216227,0.2547641850824397,higher,48,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000,50,12.0,psnr,0.0026380514056508985,0.0062237968154847225,0.4078367768817306,higher,24,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000,50,6.0,psnr,0.0015706304232407698,0.005579367739166681,0.5821972260327852,higher,22,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000,100,6.0,psnr,0.001450313772764111,0.006695449460161995,0.6719581876613232,higher,44,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000,100,12.0,psnr,0.002093880265837579,0.005597763171900353,0.464971304614354,higher,49,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000,150,6.0,psnr,0.002331249697207189,0.012312593321054407,0.7112490192250764,higher,45,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000,150,12.0,psnr,0.007216789057213917,0.013634725960187517,0.3017366825595751,higher,51,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000,200,12.0,psnr,-0.03849331158545218,0.04231105577013992,0.0772234002591337,higher,36,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000,200,6.0,psnr,-0.08032602386288772,0.0463679051313365,0.0009437208798554464,higher,27,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000_ema,50,12.0,psnr,0.0024664909408495753,0.005708608188816419,0.39885423337288817,higher,25,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000_ema,50,6.0,psnr,0.001228286091770584,0.005109028753660689,0.6383891395466874,higher,22,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000_ema,100,6.0,psnr,0.0032069297927483707,0.0065293763226010205,0.3377547029597773,higher,50,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000_ema,100,12.0,psnr,0.0039104956518819884,0.005342007302274951,0.15408931350727825,higher,54,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000_ema,150,6.0,psnr,0.011502649273145501,0.012391391798248082,0.07147118418664773,higher,55,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000_ema,150,12.0,psnr,0.011239901753687073,0.011741306774329281,0.06317149675043997,higher,55,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000_ema,200,12.0,psnr,-0.023918921811696962,0.04074371717955118,0.2522908621774373,higher,41,115
q4_full_r32_a16_lr5e-4_checkpoint_step_6000_ema,200,6.0,psnr,-0.0776295248802615,0.040601013701569,0.0002819503073396475,higher,26,115
DDPM-inv,50,12.0,psnr,-0.10594761076461652,0.02028953692099893,7.853979919635623e-18,higher,4,115
DDPM-inv,50,6.0,psnr,-0.0340434221248052,0.007047592665264015,4.837046805093989e-16,higher,6,115
DDPM-inv,100,6.0,psnr,-0.03247253466124231,0.031423667216242124,0.045159884591442684,higher,48,115
DDPM-inv,100,12.0,psnr,-0.2517396447388226,0.06940298119705249,1.0875596932164821e-10,higher,19,115
DDPM-inv,150,6.0,psnr,0.1661900892497767,0.11713645637721835,0.006346168323944309,higher,71,115
DDPM-inv,150,12.0,psnr,-0.01574116276857799,0.1378365756001311,0.8232861722848479,higher,55,115
DDPM-inv,200,12.0,psnr,-0.34476828251109537,0.2745312004825973,0.01533544418489236,higher,56,115
DDPM-inv,200,6.0,psnr,-0.7937234191756861,0.3208463216529388,3.962538034078108e-06,higher,46,115
SDEdit,50,12.0,psnr,-0.38277044540727084,0.04980557895140729,6.965724541656404e-29,higher,0,115
SDEdit,50,6.0,psnr,-0.39503236320059154,0.05110026656152172,4.44979722387777e-29,higher,0,115
SDEdit,100,6.0,psnr,-0.8355439588108813,0.0843312099173692,5.955074683752247e-38,higher,0,115
SDEdit,100,12.0,psnr,-0.7054703307807872,0.07233083995316622,2.353813543471873e-37,higher,0,115
SDEdit,150,6.0,psnr,-1.2420546722547303,0.13257917273909198,7.602618543321274e-36,higher,3,115
SDEdit,150,12.0,psnr,-1.056728233860125,0.1124778535302825,5.966508594727311e-36,higher,3,115
SDEdit,200,12.0,psnr,-1.2052108642175043,0.2696217019089868,2.0929791197817157e-14,higher,19,115
SDEdit,200,6.0,psnr,-1.5904903788255818,0.3103945844375655,2.2008885102719344e-17,higher,13,115
attn_r32_a16_lr2e-4_checkpoint_step_4000,50,12.0,clap,-0.0008312895275482648,0.00047365206624970226,0.0008137834414095916,higher,44,115
attn_r32_a16_lr2e-4_checkpoint_step_4000,50,6.0,clap,-0.0012614436485413156,0.0006206895266135425,0.00012007918120129592,higher,42,115
attn_r32_a16_lr2e-4_checkpoint_step_4000,100,6.0,clap,0.00073405741499911,0.0012415201570269072,0.24893353129665613,higher,60,115
attn_r32_a16_lr2e-4_checkpoint_step_4000,100,12.0,clap,0.0012081102825562372,0.0009830140076850348,0.017606619686390223,higher,66,115
attn_r32_a16_lr2e-4_checkpoint_step_4000,150,6.0,clap,-0.003500928778131931,0.0030536787423462706,0.026560744177219743,higher,54,115
attn_r32_a16_lr2e-4_checkpoint_step_4000,150,12.0,clap,-0.0012051807301924984,0.0039015075035362186,0.5460857753930999,higher,53,115
attn_r32_a16_lr2e-4_checkpoint_step_4000,200,12.0,clap,0.0024049386910816517,0.003327920107219466,0.1593839181113292,higher,63,115
attn_r32_a16_lr2e-4_checkpoint_step_4000,200,6.0,clap,-0.0029367516725854366,0.002992952801338392,0.056949743257554565,higher,47,115
attn_r32_a16_lr2e-4_checkpoint_step_4000_ema,50,12.0,clap,-0.0007090678631364686,0.0004547626490737083,0.0027937721023523206,higher,45,115
attn_r32_a16_lr2e-4_checkpoint_step_4000_ema,50,6.0,clap,-0.0011603260478756819,0.0005953955249285879,0.0002179332440473899,higher,44,115
attn_r32_a16_lr2e-4_checkpoint_step_4000_ema,100,6.0,clap,0.0007891269020088397,0.001233830166739307,0.21256419655323372,higher,61,115
attn_r32_a16_lr2e-4_checkpoint_step_4000_ema,100,12.0,clap,0.0012054720137646242,0.0009952540243709075,0.019268531041177223,higher,64,115
attn_r32_a16_lr2e-4_checkpoint_step_4000_ema,150,6.0,clap,-0.0032358534812279393,0.003156621321225691,0.04687891403373593,higher,57,115
attn_r32_a16_lr2e-4_checkpoint_step_4000_ema,150,12.0,clap,-0.0012848483229260378,0.0038879738955348185,0.5184710057633208,higher,53,115
attn_r32_a16_lr2e-4_checkpoint_step_4000_ema,200,12.0,clap,0.0022809815541387944,0.0033666743884605316,0.18685238480503158,higher,62,115
attn_r32_a16_lr2e-4_checkpoint_step_4000_ema,200,6.0,clap,-0.0028651203168074068,0.0029463690970492474,0.059174739961553605,higher,46,115
full_r8_a4_lr5e-4_checkpoint_step_2000,50,12.0,clap,-0.000561775154169976,0.0005047794114513312,0.03121395999437012,higher,53,115
full_r8_a4_lr5e-4_checkpoint_step_2000,50,6.0,clap,-0.0012558594236910154,0.0008934472637329517,0.006833309892165377,higher,45,115
full_r8_a4_lr5e-4_checkpoint_step_2000,100,6.0,clap,0.0010242641075489192,0.0012905164508389842,0.12256953504614443,higher,64,115
full_r8_a4_lr5e-4_checkpoint_step_2000,100,12.0,clap,0.0009992455380272685,0.0009381326583970441,0.03905438892541186,higher,64,115
full_r8_a4_lr5e-4_checkpoint_step_2000,150,6.0,clap,-0.0016184006573913936,0.0022808170728175173,0.16700753806448562,higher,52,115
full_r8_a4_lr5e-4_checkpoint_step_2000,150,12.0,clap,-0.0001551924573785937,0.002449717309314566,0.9014006999505604,higher,57,115
full_r8_a4_lr5e-4_checkpoint_step_2000,200,12.0,clap,0.0014771590579308817,0.0031373210920574088,0.3580419098560753,higher,65,115
full_r8_a4_lr5e-4_checkpoint_step_2000,200,6.0,clap,-0.0023949842883069596,0.0038034347360275805,0.21966951482681835,higher,53,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,50,12.0,clap,-0.0006743088993195692,0.00038354849207578165,0.0007978427797082654,higher,46,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,50,6.0,clap,-0.0012303042916608062,0.000581148592515729,6.45111263989287e-05,higher,44,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,100,6.0,clap,0.0006379635951734432,0.0012867015213362631,0.33321053600404393,higher,64,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,100,12.0,clap,0.0008162459964029045,0.0008621080301167112,0.06607447355284429,higher,64,115
full_r8_a4_lr5e-4_checkpoint_step_2000_ema,150,6.0,clap,-0.0017496315736177117,0.0018048377158091757,0.05995306080830402,higher,46,115
